Back station logged in as supervisor:,yes
Camera outage noted:,no
"If Yes, How many?:",
Notifications made? (Did you call someone?:,yes
Work order Completed Yes or No:,no
Audio Check: (X),yes
Air Conditioning Check:,72
Server IV-I Retention Time:,34
Server IV-2 Retention Time:,22
Server IV-3 Retention Time:,94
Server IV-4 Retention Time:,34
Server IV-5 Retention Time:,76
Server IV-6 Retention Time:,46
Server IV-7 Retention Time:,52
Server IV-8 Retention Time:,90
Server IV-9 Retention Time:,61
Server IV-IO Retention Time:,55
Server IV-11 Retention Time:,97
Server IV-12 Retention Time:,41
Server NSM-1 Retention Time:,48
Server NSM-2 Retention Time:,86
Server NSM-3 Retention Time:,92
Server NSM-4 Retention Time:,67
Server NSM-5 Retention Time:,59
Server NSM-6 Retention Time:,14
Server NSM-7 Retention Time:,66
